Designator,Mid X,Mid Y,Rotation,Layer
D1,65.2,-46.24375,90,bottom
D10,103.3,-60.53125,90,bottom
D11,122.35,-58.15,90,bottom
D12,141.4,-60.53125,90,bottom
D13,160.45,-60.53125,90,bottom
D14,179.5,-65.29375,90,bottom
D15,65.2,-84.34375,90,bottom
D16,84.25,-84.34375,90,bottom
D17,103.3,-79.58125,90,bottom
D18,122.35,-77.2,90,bottom
D19,141.4,-79.58125,90,bottom
D2,84.25,-46.24375,90,bottom
D20,160.45,-79.58125,90,bottom
D21,179.5,-84.34375,90,bottom
D22,65.2,-103.39375,90,bottom
D23,84.25,-103.39375,90,bottom
D24,103.3,-98.63125,90,bottom
D25,122.35,-96.25,90,bottom
D26,141.4,-98.63125,90,bottom
D27,160.45,-98.63125,90,bottom
D28,194.248322,-145.851863,90,bottom
D29,65.2,-122.44375,90,bottom
D3,103.3,-41.48125,90,bottom
D30,84.25,-122.44375,90,bottom
D31,103.3,-117.68125,90,bottom
D32,122.35,-115.3,90,bottom
D33,149.198514,-123.47557,90,bottom
D34,177.750538,-136.326863,90,bottom
D4,122.35,-39.1,90,bottom
D5,141.4,-41.48125,90,bottom
D6,160.45,-41.48125,90,bottom
D7,179.5,-46.24375,90,bottom
D8,65.2,-65.29375,90,bottom
D9,84.25,-65.29375,90,bottom
U2,188.95,-61.95,90,bottom
